Wall time,Step,Value
1586960118.0261445,1,4.381270885467529
1586960124.1032932,2,8.208697319030762
1586960130.2084491,3,9.229454040527344
1586960136.299025,4,9.78251838684082
1586960142.3991401,5,10.150395393371582
1586960148.516104,6,10.452509880065918
1586960154.6554847,7,10.765190124511719
1586960160.7829788,8,11.023880958557129
1586960166.889948,9,11.24255657196045
1586960173.0066679,10,11.384056091308594
1586960179.1531565,11,11.483478546142578
1586960185.2755113,12,11.54131031036377
1586960191.3579218,13,11.599509239196777
1586960197.465942,14,11.657867431640625
1586960203.5626748,15,11.724920272827148
1586960209.6602654,16,11.757475852966309
1586960215.7911582,17,11.803519248962402
1586960221.92832,18,11.825641632080078
1586960228.0661805,19,11.867449760437012
1586960234.1569045,20,11.894939422607422
1586960240.2954788,21,11.895278930664062
1586960246.4374967,22,11.932990074157715
1586960252.5598423,23,11.93079948425293
1586960258.6958668,24,11.960305213928223
1586960264.8367307,25,11.969890594482422
1586960270.95208,26,11.9733304977417
1586960277.074296,27,11.992995262145996
1586960283.207399,28,11.963861465454102
1586960289.3005872,29,12.00145149230957
1586960295.3894641,30,11.994900703430176
1586960301.485235,31,12.02145767211914
1586960307.580355,32,12.028535842895508
1586960313.7051656,33,12.044160842895508
1586960319.8214252,34,12.02806282043457
1586960325.9519618,35,12.052000999450684
1586960332.0616448,36,12.05353832244873
1586960338.1447597,37,12.08047103881836
1586960344.2678516,38,12.081804275512695
1586960350.3913608,39,12.073070526123047
1586960356.5136213,40,12.1187162399292
1586960362.6576052,41,12.110801696777344
1586960368.7536647,42,12.110097885131836
1586960374.8677728,43,12.131478309631348
1586960381.0017824,44,12.108988761901855
1586960387.0942314,45,12.135669708251953
1586960393.2349722,46,12.131494522094727
1586960399.3555062,47,12.128600120544434
1586960405.4899762,48,12.131257057189941
1586960411.6041405,49,12.136869430541992
1586960417.7172763,50,12.174367904663086
1586960423.8127325,51,12.136858940124512
1586960429.8933218,52,12.160665512084961
1586960436.0140274,53,12.159892082214355
1586960442.1490498,54,12.157061576843262
1586960448.2615864,55,12.173653602600098
1586960454.3651435,56,12.167316436767578
1586960460.4547315,57,12.195876121520996
1586960466.5650978,58,12.180468559265137
1586960472.701342,59,12.182644844055176
1586960478.8040159,60,12.18273639678955
1586960484.9286687,61,12.208883285522461
1586960491.0342371,62,12.207212448120117
1586960497.1253192,63,12.188873291015625
1586960503.237868,64,12.207517623901367
1586960509.3807418,65,12.197139739990234
1586960515.517717,66,12.190180778503418
1586960521.6412525,67,12.20192813873291
1586960527.7385588,68,12.218545913696289
1586960533.879652,69,12.196638107299805
1586960539.98637,70,12.200251579284668
1586960546.1183758,71,12.214911460876465
1586960552.2040803,72,12.222651481628418
1586960558.2870307,73,12.19950008392334
1586960564.4064894,74,12.202909469604492
1586960570.520467,75,12.232090950012207
1586960576.6526487,76,12.222603797912598
1586960582.7828152,77,12.208160400390625
1586960588.8649282,78,12.21981430053711
1586960594.9559042,79,12.218687057495117
1586960601.0781732,80,12.227608680725098
1586960607.2112875,81,12.238775253295898
1586960613.3441503,82,12.23483943939209
1586960619.459357,83,12.23560619354248
1586960625.5476723,84,12.24695110321045
1586960631.65503,85,12.238861083984375
1586960637.7435796,86,12.245729446411133
1586960643.8279824,87,12.243165016174316
1586960649.960173,88,12.227128982543945
1586960656.068018,89,12.237936973571777
1586960662.1806939,90,12.241547584533691
1586960668.3202121,91,12.240107536315918
1586960674.4107473,92,12.239786148071289
1586960680.534595,93,12.241189956665039
1586960686.619878,94,12.242164611816406
1586960692.7261064,95,12.256340026855469
1586960698.8157694,96,12.231246948242188
1586960704.8990705,97,12.231648445129395
1586960711.0026047,98,12.243319511413574
1586960717.1373708,99,12.240449905395508
1586960723.2679617,100,12.25462818145752
