Wall time,Step,Value
1586871389.6685212,1,44.698341369628906
1586871395.8757355,2,35.80419158935547
1586871402.066121,3,34.67717742919922
1586871408.2188015,4,34.03649139404297
1586871414.3750353,5,33.563697814941406
1586871420.541609,6,33.186431884765625
1586871426.7110603,7,32.8712158203125
1586871432.9060414,8,32.62694549560547
1586871439.0968213,9,32.44082260131836
1586871445.303227,10,32.24431610107422
1586871451.49166,11,32.09315872192383
1586871457.6666536,12,31.955326080322266
1586871463.8586848,13,31.831144332885742
1586871470.0761676,14,31.69514274597168
1586871476.301887,15,31.597829818725586
1586871482.4850087,16,31.52472496032715
1586871488.6805034,17,31.405258178710938
1586871494.9154487,18,31.346576690673828
1586871501.1055436,19,31.264989852905273
1586871507.2932498,20,31.20462989807129
1586871513.509642,21,31.140457153320312
1586871519.7406404,22,31.085880279541016
1586871525.9624708,23,31.035551071166992
1586871532.1389499,24,30.98996353149414
1586871538.3299544,25,30.921798706054688
1586871544.5570052,26,30.86836814880371
1586871550.7380886,27,30.826370239257812
1586871556.94042,28,30.796998977661133
1586871563.182087,29,30.759830474853516
1586871569.4067166,30,30.729867935180664
1586871575.6400464,31,30.67393684387207
1586871581.854082,32,30.63928985595703
1586871588.0793169,33,30.6035099029541
1586871594.2841997,34,30.588712692260742
1586871600.4586127,35,30.56007957458496
1586871606.628936,36,30.50489616394043
1586871612.8038223,37,30.477352142333984
1586871619.008692,38,30.453184127807617
1586871625.2397118,39,30.433931350708008
1586871631.4682848,40,30.38770866394043
1586871637.701506,41,30.382383346557617
1586871643.927951,42,30.349756240844727
1586871650.1565094,43,30.32179069519043
1586871656.3880036,44,30.299638748168945
1586871662.6107178,45,30.28436851501465
1586871668.8138375,46,30.266586303710938
1586871674.9863713,47,30.25665283203125
1586871681.165418,48,30.2158260345459
1586871687.3766663,49,30.194372177124023
1586871693.589657,50,30.16468048095703
1586871699.7759464,51,30.166303634643555
1586871705.9509826,52,30.16089630126953
1586871712.1696837,53,30.11578941345215
1586871718.3960783,54,30.106786727905273
1586871724.6011343,55,30.086666107177734
1586871730.826356,56,30.063648223876953
1586871737.054589,57,30.047292709350586
1586871743.2516687,58,30.01848793029785
1586871749.425876,59,30.012283325195312
1586871755.6243472,60,30.012916564941406
1586871761.8599288,61,29.979263305664062
1586871768.0727684,62,29.97748374938965
1586871774.2855425,63,29.955907821655273
1586871780.4880593,64,29.96671485900879
1586871786.693974,65,29.906747817993164
1586871792.8643415,66,29.93623924255371
1586871799.0515575,67,29.886777877807617
1586871805.2262964,68,29.886491775512695
1586871811.3993306,69,29.8818359375
1586871817.5809758,70,29.87244415283203
1586871823.7960634,71,29.86634635925293
1586871830.0282724,72,29.842885971069336
1586871836.2554557,73,29.831806182861328
1586871842.4797351,74,29.814613342285156
1586871848.6879475,75,29.816158294677734
1586871854.862318,76,29.792959213256836
1586871861.0407686,77,29.77859115600586
1586871867.259312,78,29.790645599365234
1586871873.4446068,79,29.76021385192871
1586871879.6187966,80,29.74272918701172
1586871885.8287435,81,29.721477508544922
1586871892.010289,82,29.7418155670166
1586871898.221799,83,29.730255126953125
1586871904.4354038,84,29.727434158325195
1586871910.6071825,85,29.71152687072754
1586871916.825411,86,29.679061889648438
1586871923.053312,87,29.68967056274414
1586871929.2774925,88,29.6846981048584
1586871935.4522147,89,29.6664981842041
1586871941.6270938,90,29.659467697143555
1586871947.8089042,91,29.664918899536133
1586871954.0022233,92,29.622556686401367
1586871960.2161648,93,29.62493133544922
1586871966.386022,94,29.621381759643555
1586871972.605736,95,29.61949348449707
1586871978.8388224,96,29.599401473999023
1586871985.0695405,97,29.58615493774414
1586871991.2797015,98,29.556398391723633
1586871997.5062983,99,29.595104217529297
1586872003.7380557,100,29.59512710571289
