Wall time,Step,Value
1586960118.0259707,1,49.3231201171875
1586960124.1030858,2,40.87815475463867
1586960130.2082417,3,38.72661590576172
1586960136.298831,4,36.32518005371094
1586960142.3989315,5,34.556251525878906
1586960148.5158973,6,33.535865783691406
1586960154.6552718,7,32.82862854003906
1586960160.7827213,8,32.218406677246094
1586960166.8897388,9,31.788188934326172
1586960173.0064585,10,31.486352920532227
1586960179.1529553,11,31.28434944152832
1586960185.2753122,12,31.077762603759766
1586960191.3577135,13,30.905902862548828
1586960197.4657326,14,30.750225067138672
1586960203.5624814,15,30.673587799072266
1586960209.6600804,16,30.51490592956543
1586960215.7909517,17,30.431364059448242
1586960221.928113,18,30.327058792114258
1586960228.0659733,19,30.23777961730957
1586960234.156695,20,30.16221046447754
1586960240.2952647,21,30.086177825927734
1586960246.4372892,22,30.01995277404785
1586960252.559634,23,29.954198837280273
1586960258.695674,24,29.908340454101562
1586960264.836539,25,29.853376388549805
1586960270.9518745,26,29.79334259033203
1586960277.0740888,27,29.742334365844727
1586960283.2071922,28,29.660293579101562
1586960289.300378,29,29.65782928466797
1586960295.3892574,30,29.577919006347656
1586960301.4850268,31,29.584609985351562
1586960307.5801475,32,29.54165267944336
1586960313.7049565,33,29.507492065429688
1586960319.8212168,34,29.463424682617188
1586960325.9517527,35,29.446760177612305
1586960332.0614371,36,29.40711784362793
1586960338.144553,37,29.384078979492188
1586960344.267643,38,29.362998962402344
1586960350.3911538,39,29.312355041503906
1586960356.513414,40,29.343971252441406
1586960362.657398,41,29.307907104492188
1586960368.7534325,42,29.26816177368164
1586960374.8675714,43,29.255638122558594
1586960381.0015745,44,29.22231674194336
1586960387.0940208,45,29.209165573120117
1586960393.2347636,46,29.174070358276367
1586960399.3552935,47,29.1503963470459
1586960405.4897854,48,29.134843826293945
1586960411.6039343,49,29.133272171020508
1586960417.7170665,50,29.144556045532227
1586960423.8125565,51,29.07487678527832
1586960429.893114,52,29.092205047607422
1586960436.0138206,53,29.076976776123047
1586960442.148841,54,29.042987823486328
1586960448.2613783,55,29.0443058013916
1586960454.364921,56,29.021005630493164
1586960460.454542,57,29.040435791015625
1586960466.5648878,58,29.00368881225586
1586960472.7011344,59,28.99027442932129
1586960478.803809,60,28.978696823120117
1586960484.9284449,61,28.972816467285156
1586960491.0340312,62,28.980022430419922
1586960497.1251123,63,28.948030471801758
1586960503.2376578,64,28.947229385375977
1586960509.380535,65,28.922252655029297
1586960515.517515,66,28.916078567504883
1586960521.641046,67,28.901134490966797
1586960527.73835,68,28.903362274169922
1586960533.8794405,69,28.87653160095215
1586960539.9861598,70,28.864070892333984
1586960546.1181686,71,28.860702514648438
1586960552.2038724,72,28.875089645385742
1586960558.2868237,73,28.834884643554688
1586960564.4062963,74,28.830041885375977
1586960570.5202837,75,28.84528160095215
1586960576.6524434,76,28.80975341796875
1586960582.7826068,77,28.7896785736084
1586960588.864721,78,28.786012649536133
1586960594.955695,79,28.795345306396484
1586960601.0779817,80,28.794296264648438
1586960607.2110987,81,28.794025421142578
1586960613.3439565,82,28.773101806640625
1586960619.4591508,83,28.772552490234375
1586960625.5474675,84,28.751602172851562
1586960631.654824,85,28.750883102416992
1586960637.7433903,86,28.762996673583984
1586960643.827773,87,28.75274085998535
1586960649.9599802,88,28.737323760986328
1586960656.0678236,89,28.72714614868164
1586960662.1804802,90,28.719829559326172
1586960668.320004,91,28.712310791015625
1586960674.4105377,92,28.706695556640625
1586960680.5344317,93,28.697702407836914
1586960686.6196725,94,28.681949615478516
1586960692.7258983,95,28.711523056030273
1586960698.8155804,96,28.674888610839844
1586960704.8988876,97,28.67768096923828
1586960711.0023966,98,28.65953254699707
1586960717.1371596,99,28.67268943786621
1586960723.2677524,100,28.673480987548828
