Wall time,Step,Value
1586871389.668679,1,5.302760124206543
1586871395.8758917,2,6.8215460777282715
1586871402.0662773,3,7.14738655090332
1586871408.2189593,4,7.324902534484863
1586871414.3751915,5,7.4671525955200195
1586871420.5417655,6,7.569684982299805
1586871426.7112164,7,7.648507118225098
1586871432.9062004,8,7.717248916625977
1586871439.0969794,9,7.7922210693359375
1586871445.3033826,10,7.846159934997559
1586871451.4918182,11,7.894560813903809
1586871457.6668348,12,7.943111419677734
1586871463.8588417,13,7.975317478179932
1586871470.0763273,14,7.993635654449463
1586871476.3020453,15,8.0330171585083
1586871482.4851482,16,8.069525718688965
1586871488.6806602,17,8.077911376953125
1586871494.9155877,18,8.116301536560059
1586871501.1056814,19,8.133967399597168
1586871507.2934082,20,8.156220436096191
1586871513.5098011,21,8.176366806030273
1586871519.7407966,22,8.21674919128418
1586871525.962626,23,8.229157447814941
1586871532.1390922,24,8.243250846862793
1586871538.330114,25,8.243672370910645
1586871544.5571673,26,8.251322746276855
1586871550.7382457,27,8.279006004333496
1586871556.9406054,28,8.299670219421387
1586871563.182243,29,8.302251815795898
1586871569.4068599,30,8.332194328308105
1586871575.6401868,31,8.328746795654297
1586871581.8542242,32,8.357250213623047
1586871588.0794747,33,8.35836124420166
1586871594.284339,34,8.377043724060059
1586871600.458769,35,8.396533966064453
1586871606.629076,36,8.393900871276855
1586871612.8039634,37,8.40815258026123
1586871619.0088506,38,8.408283233642578
1586871625.239869,39,8.434854507446289
1586871631.4684405,40,8.42815113067627
1586871637.7016442,41,8.450868606567383
1586871643.9281082,42,8.43785285949707
1586871650.156667,43,8.459216117858887
1586871656.388159,44,8.480100631713867
1586871662.6108606,45,8.479952812194824
1586871668.8139799,46,8.496609687805176
1586871674.986512,47,8.515389442443848
1586871681.165576,48,8.498086929321289
1586871687.3768103,49,8.508286476135254
1586871693.5898156,50,8.512014389038086
1586871699.7761045,51,8.540960311889648
1586871705.9511402,52,8.553685188293457
1586871712.1698406,53,8.538846015930176
1586871718.3962195,54,8.539205551147461
1586871724.601291,55,8.55905532836914
1586871730.8265138,56,8.553196907043457
1586871737.0547285,57,8.55721664428711
1586871743.251824,58,8.558357238769531
1586871749.4260187,59,8.564507484436035
1586871755.6245039,60,8.583155632019043
1586871761.8600855,61,8.577735900878906
1586871768.072926,62,8.592662811279297
1586871774.2856994,63,8.591632843017578
1586871780.4882007,64,8.617500305175781
1586871786.6941128,65,8.587725639343262
1586871792.8645003,66,8.62075138092041
1586871799.0517166,67,8.610223770141602
1586871805.2264504,68,8.616304397583008
1586871811.3994734,69,8.626212120056152
1586871817.5811563,70,8.633719444274902
1586871823.7962234,71,8.636199951171875
1586871830.028411,72,8.6483793258667
1586871836.2556002,73,8.64528751373291
1586871842.4798734,74,8.649304389953613
1586871848.6880884,75,8.651266098022461
1586871854.8624575,76,8.6477632522583
1586871861.0409248,77,8.655586242675781
1586871867.2594526,78,8.665761947631836
1586871873.4447365,79,8.65584945678711
1586871879.6189394,80,8.663196563720703
1586871885.8289006,81,8.662586212158203
1586871892.0104468,82,8.6931734085083
1586871898.2219388,83,8.689967155456543
1586871904.4355993,84,8.696789741516113
1586871910.6073368,85,8.689433097839355
1586871916.8255675,86,8.687488555908203
1586871923.0534668,87,8.690139770507812
1586871929.277652,88,8.710358619689941
1586871935.452372,89,8.710198402404785
1586871941.6272514,90,8.702567100524902
1586871947.809044,91,8.712187767028809
1586871954.0023806,92,8.711761474609375
1586871960.2163198,93,8.705498695373535
1586871966.3861618,94,8.715425491333008
1586871972.6058912,95,8.718055725097656
1586871978.8389788,96,8.736517906188965
1586871985.0696812,97,8.708765029907227
1586871991.2798584,98,8.714316368103027
1586871997.5064392,99,8.743846893310547
1586872003.7381957,100,8.739042282104492
